Call Time,Caller ID,Destination,Status,Ringing,Talking,Cost,Reason,Sentiment,Summary,Transcription
2025-08-01T07:48:18,DROGUERIA STO027 (02720),VMail (03820),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO027 (02720),,,
2025-08-01T07:47:57,DROGUERIA STO027 (02720),DROGUERIA STO038 (03820),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (03820)",,,
2025-08-01T07:48:18,DROGUERIA STO084 (08420),VMail (09820),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO084 (08420),,,
2025-08-01T07:47:57,DROGUERIA STO084 (08420),DROGUERIA STO098 (09820),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (09820)",,,
2025-08-01T07:48:06,DROGUERIA SDO515 (51520),VMail (05920),answered,00:00:00,00:00:07,0.00,Terminated by DROGUERIA SDO515 (51520),,,
2025-08-01T07:47:45,DROGUERIA SDO515 (51520),DROGUERIA STO059 (05920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (05920)",,,
2025-08-01T07:47:53,DROGUERIA STO084 (08420),VMail (09820),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO084 (08420),,,
2025-08-01T07:47:32,DROGUERIA STO084 (08420),DROGUERIA STO098 (09820),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (09820)",,,
2025-08-01T07:47:50,DROGUERIA STO027 (02720),DROGUERIA SAO138 (13820),unanswered,00:00:02,00:00:00,0.00,Terminated by DROGUERIA STO027 (02720),,,
2025-08-01T07:47:18,DROGUERIA SDO515 (51520),VMail (05920),answered,00:00:00,00:00:26,0.00,Terminated by DROGUERIA SDO515 (51520),,,
2025-08-01T07:46:57,DROGUERIA SDO515 (51520),DROGUERIA STO059 (05920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (05920)",,,
2025-08-01T07:46:57,DROGUERIA STO027 (02720),DROGUERIA SAO138 (13820),answered,00:00:09,00:00:37,0.00,Terminated by DROGUERIA STO027 (02720),,,
2025-08-01T07:47:28,DROGUERIA STO084 (08420),VMail (09820),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO084 (08420),,,
2025-08-01T07:47:07,DROGUERIA STO084 (08420),DROGUERIA STO098 (09820),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (09820)",,,
2025-08-01T07:47:24,DROGUERIA STO301 (30120),3,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T07:47:21,DROGUERIA STO301 (30120),311200,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T07:46:41,CENTRAL SEGURIDAD SAO 321 (32160),79810,answered,00:00:21,00:00:06,0.10,Terminated by CENTRAL SEGURIDAD SAO 321 (32160),,,
2025-08-01T07:46:33,DROGUERIA STO083 (08320),VMail (06620),answered,00:00:00,00:00:06,0.00,Terminated by DROGUERIA STO083 (08320),,,
2025-08-01T07:46:12,DROGUERIA STO083 (08320),DROGUERIA STO066 (06620),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (06620)",,,
2025-08-01T07:46:33,CENTRAL SEGURIDAD SAO 321 (32160),3,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T07:44:25,DROGUERIA SDO515 (51520),VMail (05920),answered,00:00:00,00:01:26,0.00,Terminated by DROGUERIA SDO515 (51520),,,
2025-08-01T07:44:04,DROGUERIA SDO515 (51520),DROGUERIA STO059 (05920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (05920)",,,
2025-08-01T07:45:29,DROGUERIA STO084 (08420),VMail (09820),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO084 (08420),,,
2025-08-01T07:45:08,DROGUERIA STO084 (08420),DROGUERIA STO098 (09820),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (09820)",,,
2025-08-01T07:45:04,DROGUERIA STO084 (08420),VMail (09820),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO084 (08420),,,
2025-08-01T07:44:43,DROGUERIA STO084 (08420),DROGUERIA STO098 (09820),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (09820)",,,
2025-08-01T07:44:58,DROGUERIA STO083 (08320),VMail (06620),answered,00:00:00,00:00:05,0.00,Terminated by DROGUERIA STO083 (08320),,,
2025-08-01T07:44:37,DROGUERIA STO083 (08320),DROGUERIA STO066 (06620),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (06620)",,,
2025-08-01T07:44:46,DROGUERIA STO301 (30120),VMail (30220),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO301 (30120),,,
2025-08-01T07:44:25,DROGUERIA STO301 (30120),DROGUERIA SAO302 (30220),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (30220)",,,
2025-08-01T07:44:40,DROGUERIA STO104 (10420),VMail (25120),answered,00:00:00,00:00:07,0.00,Terminated by DROGUERIA STO104 (10420),,,
2025-08-01T07:44:19,DROGUERIA STO104 (10420),DROGUERIA SAO251 (25120),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (25120)",,,
2025-08-01T07:44:29,DROGUERIA STO083 (08320),VMail (06620),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO083 (08320),,,
